regiontype,regionid,regionparent
zip3,718,AR
zip3,719,AR
zip3,720,AR
zip3,721,AR
zip3,722,AR
zip3,723,AR
zip3,724,AR
zip3,725,AR
zip3,726,AR
zip3,727,AR
zip3,728,AR
zip3,729,AR
zip3,730,OK
zip3,731,OK
zip3,734,OK
zip3,735,OK
zip3,736,OK
zip3,737,OK
zip3,738,OK
zip3,739,OK
zip3,740,OK
zip3,741,OK
zip3,743,OK
zip3,744,OK
zip3,745,OK
zip3,746,OK
zip3,747,OK
zip3,748,OK
zip3,749,OK
zip3,750,TX
zip3,751,TX
zip3,752,TX
zip3,754,TX
zip3,755,TX
zip3,756,TX
zip3,757,TX
zip3,758,TX
zip3,759,TX
zip3,760,TX
zip3,761,TX
zip3,762,TX
zip3,763,TX
zip3,764,TX
zip3,765,TX
zip3,766,TX
zip3,767,TX
zip3,768,TX
zip3,769,TX
zip3,770,TX
zip3,773,TX
zip3,774,TX
zip3,775,TX
zip3,776,TX
zip3,777,TX
zip3,778,TX
zip3,779,TX
zip3,780,TX
zip3,781,TX
zip3,782,TX
zip3,783,TX
zip3,784,TX
zip3,785,TX
zip3,786,TX
zip3,787,TX
zip3,788,TX
zip3,789,TX
zip3,790,TX
zip3,791,TX
zip3,792,TX
zip3,793,TX
zip3,794,TX
zip3,795,TX
zip3,796,TX
zip3,797,TX
zip3,798,TX
zip3,799,TX
zip3,800,CO
zip3,801,CO
zip3,802,CO
zip3,803,CO
zip3,804,CO
zip3,805,CO
zip3,806,CO
zip3,807,CO
zip3,808,CO
zip3,809,CO
zip3,810,CO
zip3,811,CO
zip3,812,CO
zip3,813,CO
zip3,814,CO
zip3,815,CO
zip3,816,CO
zip3,820,WY
zip3,821,WY
zip3,822,WY
zip3,823,WY
zip3,824,WY
zip3,825,WY
zip3,826,WY
zip3,827,WY
zip3,828,WY
zip3,829,WY
zip3,830,WY
zip3,831,WY
zip3,832,ID
zip3,833,ID
zip3,834,ID
zip3,835,ID
zip3,836,ID
zip3,837,ID
zip3,838,ID
zip3,840,UT
zip3,841,UT
zip3,843,UT
zip3,844,UT
zip3,845,UT
zip3,846,UT
zip3,847,UT
zip3,850,AZ
zip3,852,AZ
zip3,853,AZ
zip3,855,AZ
zip3,856,AZ
zip3,857,AZ
zip3,859,AZ
zip3,860,AZ
zip3,863,AZ
zip3,864,AZ
zip3,865,AZ
zip3,870,NM
zip3,871,NM
zip3,873,NM
zip3,874,NM
zip3,875,NM
zip3,877,NM
zip3,878,NM
zip3,879,NM
zip3,880,NM
zip3,881,NM
zip3,882,NM
zip3,883,NM
zip3,884,NM
zip3,890,NV
zip3,891,NV
zip3,893,NV
zip3,894,NV
zip3,895,NV
zip3,897,NV
zip3,898,NV
zip3,900,CA
zip3,902,CA
zip3,903,CA
zip3,904,CA
zip3,905,CA
zip3,906,CA
zip3,907,CA
zip3,908,CA
zip3,910,CA
zip3,911,CA
zip3,912,CA
zip3,913,CA
zip3,914,CA
zip3,915,CA
zip3,916,CA
zip3,917,CA
zip3,918,CA
zip3,919,CA
zip3,920,CA
zip3,921,CA
zip3,922,CA
zip3,923,CA
zip3,924,CA
zip3,925,CA
zip3,926,CA
zip3,927,CA
zip3,928,CA
zip3,930,CA
zip3,931,CA
zip3,932,CA
zip3,933,CA
zip3,934,CA
zip3,935,CA
zip3,936,CA
zip3,937,CA
zip3,939,CA
zip3,940,CA
zip3,941,CA
zip3,943,CA
zip3,944,CA
zip3,945,CA
zip3,946,CA
zip3,947,CA
zip3,948,CA
zip3,949,CA
zip3,950,CA
zip3,951,CA
zip3,952,CA
zip3,953,CA
zip3,954,CA
zip3,955,CA
zip3,956,CA
zip3,957,CA
zip3,958,CA
zip3,959,CA
zip3,960,CA
zip3,961,CA
zip3,967,HI
zip3,968,HI
zip3,970,OR
zip3,971,OR
zip3,972,OR
zip3,973,OR
zip3,974,OR
zip3,975,OR
zip3,976,OR
zip3,977,OR
zip3,978,OR
zip3,979,OR
zip3,980,WA
zip3,981,WA
zip3,982,WA
zip3,983,WA
zip3,984,WA
zip3,985,WA
zip3,986,WA
zip3,988,WA
zip3,989,WA
zip3,990,WA
zip3,991,WA
zip3,992,WA
zip3,993,WA
zip3,994,WA
zip3,995,AK
zip3,996,AK
zip3,997,AK
zip3,998,AK
zip3,999,AK
zip5,00001,000
zip5,00002,000
zip5,00003,000
zip5,00004,000
zip5,00005,000
zip5,00006,000
zip5,00007,000
zip5,00009,000
zip5,00010,000
zip5,00011,000
zip5,00012,000
zip5,00014,000
zip5,00015,000
zip5,00016,000
zip5,00017,000
zip5,00018,000
zip5,00019,000
zip5,00020,000
zip5,00022,000
zip5,00026,000
zip5,00027,000
zip5,00028,000
zip5,00029,000
zip5,00031,000
zip5,00032,000
zip5,00033,000
zip5,00034,000
zip5,00035,000
zip5,00037,000
zip5,00038,000
zip5,00039,000
zip5,00040,000
zip5,00041,000
zip5,00042,000
zip5,00043,000
zip5,00044,000
zip5,00045,000
zip5,00047,000
zip5,00048,000
zip5,00049,000
zip5,00050,000
zip5,00051,000
zip5,00052,000
zip5,00053,000
zip5,00054,000
zip5,00055,000
zip5,00056,000
zip5,00057,000
zip5,00058,000
zip5,00059,000
zip5,00060,000
zip5,00061,000
zip5,00063,000
zip5,00064,000
zip5,00065,000
zip5,00066,000
zip5,00067,000
zip5,00068,000
zip5,00069,000
zip5,00070,000
zip5,00071,000
zip5,00072,000
zip5,00073,000
zip5,00074,000
zip5,00076,000
zip5,00077,000
zip5,00084,000
zip5,00087,000
zip5,00097,000
zip5,00098,000
zip5,00100,001
zip5,00116,001
zip5,00119,001
zip5,00120,001
zip5,00121,001
zip5,00122,001
zip5,00125,001
zip5,00126,001
zip5,00127,001
zip5,00128,001
zip5,00130,001
zip5,00132,001
zip5,00133,001
zip5,00134,001
zip5,00135,001
zip5,00137,001
zip5,00138,001
zip5,00139,001
zip5,00140,001
zip5,00141,001
zip5,00145,001
zip5,00147,001
zip5,00148,001
zip5,00151,001
zip5,00152,001
zip5,00157,001
zip5,00158,001
zip5,00160,001
zip5,00161,001
zip5,00164,001
zip5,00165,001
zip5,00166,001
zip5,00168,001
zip5,00172,001
zip5,00173,001
zip5,00174,001
