regionname,regiontype,regionlongitude,regionlatitude
597,zip3,-112.300394,45.471135
598,zip3,-114.201635,46.976545
599,zip3,-114.574086,48.368293
600,zip3,-88.154701,42.293706
601,zip3,-88.477959,42.013235
602,zip3,-87.695786,42.046449
603,zip3,-87.799903,41.889784
604,zip3,-88.111828,41.377715
605,zip3,-88.530142,41.681417
606,zip3,-87.683718,41.832906
607,zip3,-87.798177,41.986820
608,zip3,-87.706262,41.716309
609,zip3,-87.922316,40.795410
610,zip3,-89.584275,42.171604
611,zip3,-89.084164,42.277512
612,zip3,-90.306791,41.486880
613,zip3,-89.177873,41.345741
614,zip3,-90.417419,40.829239
615,zip3,-89.713751,40.687657
616,zip3,-89.606724,40.708746
617,zip3,-88.887424,40.524953
618,zip3,-88.156003,40.111953
619,zip3,-88.193088,39.654459
620,zip3,-89.973006,39.125458
622,zip3,-89.718592,38.413027
623,zip3,-91.014803,39.995443
624,zip3,-88.194327,39.029284
625,zip3,-89.188302,39.643722
626,zip3,-90.008828,39.847719
627,zip3,-89.653440,39.789746
628,zip3,-88.629581,38.341660
629,zip3,-88.908660,37.548794
630,zip3,-90.811646,38.374510
631,zip3,-90.328469,38.631483
633,zip3,-91.115453,39.010341
634,zip3,-91.778142,39.947387
635,zip3,-92.632485,40.207506
636,zip3,-90.612599,37.650460
637,zip3,-89.808363,37.365005
638,zip3,-89.734549,36.560628
639,zip3,-90.607246,36.851039
640,zip3,-94.107598,39.075250
641,zip3,-94.575698,39.140567
644,zip3,-94.712259,40.144566
645,zip3,-94.845253,39.732644
646,zip3,-93.583797,39.888355
647,zip3,-94.155726,38.058143
648,zip3,-94.343728,36.933804
650,zip3,-92.230379,38.450177
651,zip3,-92.204161,38.520695
652,zip3,-92.368420,39.223760
653,zip3,-93.254194,38.704041
654,zip3,-91.749496,37.629111
655,zip3,-91.864048,37.621353
656,zip3,-92.954735,37.079826
657,zip3,-92.925036,37.106730
658,zip3,-93.301711,37.223768
660,zip3,-95.124405,38.839120
661,zip3,-94.753087,39.121239
662,zip3,-94.731589,38.963100
664,zip3,-96.116849,39.339774
665,zip3,-96.170103,39.360158
666,zip3,-95.744663,39.066619
667,zip3,-95.210509,37.634163
668,zip3,-96.374018,38.339315
669,zip3,-97.814686,39.761301
670,zip3,-97.727513,37.481443
671,zip3,-97.846694,37.495181
672,zip3,-97.328554,37.698565
673,zip3,-95.780059,37.237454
674,zip3,-97.789564,38.964343
675,zip3,-98.916851,38.224771
676,zip3,-99.452064,39.324187
677,zip3,-101.132035,39.337239
678,zip3,-100.793748,37.876659
679,zip3,-101.482960,37.183640
680,zip3,-96.454258,41.548639
681,zip3,-96.045150,41.245250
683,zip3,-96.838729,40.416128
684,zip3,-96.671141,40.552239
685,zip3,-96.681077,40.829123
686,zip3,-97.647031,41.509795
687,zip3,-98.198525,42.413365
688,zip3,-99.105275,41.301344
689,zip3,-98.916680,40.335842
690,zip3,-101.026741,40.361935
691,zip3,-101.559544,41.376368
692,zip3,-100.901874,42.555722
693,zip3,-102.981909,42.258483
700,zip3,-89.974918,29.739729
